MDLZ, 57.31%
MDLZ, 52.51%
MDLZ, 65.33%
MDLZ, 68.14%
MDT, 55.31%
MDT, 54.11%
MDT, 67.94%
MDT, 68.14%
MET, 51.30%
MET, 56.11%
MET, 59.52%
MET, 59.52%
MGM, 56.11%
MGM, 51.30%
MGM, 65.13%
MGM, 63.73%
MHK, 49.70%
MHK, 55.91%
MHK, 55.91%
MHK, 65.53%
MKC, 53.11%
MKC, 48.70%
MKC, 69.14%
MKC, 66.13%
MLM, 53.91%
MLM, 53.11%
MLM, 67.74%
MLM, 63.93%
MMC, 57.31%
MMC, 50.90%
MMC, 62.12%
MMC, 58.52%
MMM, 50.30%
MMM, 51.30%
MMM, 62.73%
MMM, 64.13%
MNST, 55.31%
MNST, 60.12%
MNST, 66.33%
MNST, 65.53%
MO, 52.51%
MO, 52.10%
MO, 63.73%
MO, 68.54%
MOS, 60.12%
MOS, 58.72%
MOS, 70.14%
MOS, 66.13%
MPC, 57.52%
MPC, 53.51%
MPC, 60.52%
MPC, 67.74%
MRK, 52.51%
MRK, 56.71%
MRK, 66.93%
MRK, 64.33%
MRO, 59.12%
MRO, 51.50%
MRO, 62.12%
MRO, 62.53%
MS, 54.31%
MS, 53.91%
MS, 63.93%
MS, 61.92%
MSFT, 51.30%
MSFT, 48.30%
MSFT, 52.30%
MSFT, 50.90%
MSI, 54.51%
MSI, 50.10%
MSI, 61.32%
MSI, 66.93%
MTB, 51.50%
MTB, 55.51%
MTB, 56.51%
MTB, 57.92%
MTD, 55.31%
MTD, 49.90%
MTD, 55.51%
MTD, 62.32%
MU, 56.51%
MU, 55.91%
MU, 60.92%
MU, 61.32%
MYL, 58.12%
MYL, 59.52%
MYL, 70.54%
MYL, 67.13%
NBL, 51.10%
NBL, 55.31%
NBL, 60.72%
NBL, 62.12%
NCLH, 56.51%
NCLH, 54.31%
NCLH, 69.34%
NCLH, 61.52%
NDAQ, 55.51%
NDAQ, 56.11%
NDAQ, 56.51%
NDAQ, 54.31%
NEE, 54.31%
NEE, 55.71%
NEE, 64.33%
NEE, 56.31%
NEM, 55.71%
NEM, 54.91%
NEM, 67.33%
NEM, 61.52%
NFLX, 56.31%
NFLX, 52.10%
NFLX, 61.12%
NFLX, 61.12%
NFX, 57.92%
NFX, 58.12%
NFX, 68.74%
NFX, 73.75%
NI, 55.11%
NI, 53.71%
NI, 68.54%
NI, 62.73%
NKE, 49.30%
NKE, 58.12%
NKE, 56.11%
NKE, 56.31%
NLSN, 50.70%
NLSN, 60.12%
NLSN, 66.73%
NLSN, 63.73%
NOC, 49.90%
NOC, 50.10%
NOC, 59.52%
NOC, 57.52%
NOV, 54.11%
NOV, 57.11%
NOV, 68.14%
NOV, 62.73%
NRG, 54.31%
NRG, 52.10%
NRG, 67.13%
NRG, 66.53%
NSC, 55.31%
NSC, 54.51%
NSC, 67.94%
NSC, 54.71%
NTAP, 52.30%
NTAP, 54.11%
NTAP, 62.12%
NTAP, 62.32%
NTRS, 55.51%
NTRS, 57.72%
NTRS, 59.12%
NTRS, 69.54%
NUE, 53.11%
NUE, 54.71%
NUE, 68.54%
NUE, 64.33%
NVDA, 47.49%
NVDA, 50.70%
NVDA, 62.12%
NVDA, 60.12%
NWL, 56.71%
NWL, 49.10%
NWL, 64.13%
NWL, 60.32%
NWS, 60.32%
NWS, 56.91%
NWS, 68.74%
NWS, 69.34%
NWSA, 54.31%
NWSA, 52.30%
NWSA, 69.34%
NWSA, 59.92%
O, 57.72%
O, 52.91%
O, 69.34%
O, 61.72%
OKE, 58.32%
OKE, 56.31%
OKE, 65.33%
OKE, 60.12%
OMC, 53.91%
OMC, 55.91%
OMC, 66.73%
OMC, 64.93%
ORCL, 53.51%
ORCL, 54.11%
ORCL, 68.94%
ORCL, 70.14%
ORLY, 54.91%
ORLY, 55.91%
ORLY, 66.53%
ORLY, 65.13%
OXY, 60.52%
OXY, 54.91%
OXY, 62.93%
OXY, 60.92%
PAYX, 53.51%
PAYX, 54.51%
PAYX, 61.12%
PAYX, 57.52%
PBCT, 51.10%
PBCT, 53.51%
PBCT, 66.53%
PBCT, 64.73%
PCAR, 55.71%
PCAR, 58.72%
PCAR, 67.54%
PCAR, 58.12%
PCG, 49.70%
PCG, 55.71%
PCG, 67.13%
PCG, 67.33%
PDCO, 53.51%
PDCO, 54.51%
PDCO, 63.53%
PDCO, 70.94%
PEG, 55.31%
PEG, 56.71%
PEG, 63.53%
PEG, 71.54%
PEP, 55.51%
PEP, 57.52%
PEP, 61.72%
