ROST, 49.7%, 55.11%, 53.51%, 53.11%
RRC, 44.09%, 55.51%, 46.09%, 46.29%
RSG, 54.91%, 46.29%, 45.09%, 45.29%
RTN, 46.49%, 41.08%, 53.91%, 43.69%
SBAC, 54.31%, 47.29%, 53.11%, 54.11%
SBUX, 50.5%, 54.91%, 50.3%, 48.5%
SCG, 48.9%, 51.9%, 49.1%, 53.51%
SCHW, 51.9%, 55.11%, 52.3%, 46.29%
SEE, 49.9%, 44.89%, 45.49%, 53.71%
SHW, 46.49%, 55.51%, 46.09%, 47.9%
SIG, 47.7%, 50.3%, 52.3%, 52.91%
SJM, 53.91%, 53.51%, 52.51%, 48.9%
SLB, 47.9%, 49.5%, 51.7%, 49.3%
SLG, 49.5%, 50.7%, 50.9%, 48.7%
SNA, 47.29%, 44.69%, 52.3%, 46.69%
SNPS, 57.92%, 45.69%, 41.48%, 42.89%
SO, 51.7%, 50.1%, 47.29%, 48.3%
SPG, 51.1%, 52.71%, 45.69%, 46.49%
SPGI, 51.9%, 46.69%, 46.09%, 52.1%
SRCL, 49.3%, 52.91%, 44.29%, 52.3%
SRE, 49.3%, 45.49%, 47.9%, 49.1%
STI, 50.7%, 45.09%, 48.3%, 44.49%
STT, 50.3%, 51.1%, 47.49%, 51.7%
STX, 48.3%, 55.51%, 52.71%, 53.31%
STZ, 48.5%, 41.88%, 48.9%, 44.09%
SWK, 50.9%, 48.1%, 48.1%, 43.29%
SWKS, 48.1%, 59.12%, 45.49%, 50.7%
SYK, 58.32%, 41.08%, 44.29%, 55.31%
SYMC, 53.31%, 55.11%, 53.91%, 44.09%
SYY, 50.1%, 53.31%, 45.49%, 45.69%
T, 52.71%, 56.71%, 49.5%, 46.09%
TAP, 52.91%, 48.1%, 45.89%, 49.3%
TDG, 48.9%, 58.92%, 43.49%, 40.88%
TEL, 46.49%, 56.71%, 48.1%, 57.11%
TGT, 52.1%, 53.31%, 51.9%, 55.11%
TIF, 51.1%, 46.69%, 51.1%, 56.11%
TJX, 50.3%, 55.71%, 48.3%, 47.29%
TMK, 54.31%, 55.31%, 54.91%, 48.1%
TMO, 52.51%, 58.12%, 45.49%, 47.9%
TPR, 50.5%, 45.49%, 50.5%, 46.89%
TRIP, 52.51%, 46.89%, 47.9%, 51.9%
TROW, 47.9%, 54.71%, 47.7%, 51.5%
TRV, 47.29%, 45.89%, 52.51%, 47.7%
TSCO, 47.29%, 44.89%, 52.91%, 50.1%
TSN, 52.3%, 42.28%, 51.3%, 55.71%
TSS, 45.29%, 41.88%, 46.09%, 42.48%
TXN, 52.71%, 42.48%, 56.51%, 52.51%
TXT, 52.71%, 51.1%, 46.29%, 53.11%
UAA, 50.7%, 45.09%, 49.5%, 53.51%
UAL, 50.1%, 46.89%, 52.3%, 50.9%
UDR, 53.71%, 47.09%, 45.89%, 43.09%
UHS, 48.1%, 53.31%, 51.3%, 50.7%
ULTA, 50.5%, 55.71%, 49.3%, 51.9%
UNH, 45.49%, 56.11%, 45.29%, 54.91%
UNM, 51.3%, 43.89%, 52.51%, 49.1%
UNP, 48.5%, 43.29%, 52.51%, 46.49%
UPS, 51.9%, 44.89%, 54.51%, 49.9%
URI, 50.1%, 43.89%, 51.7%, 45.09%
USB, 52.1%, 45.09%, 48.7%, 52.1%
UTX, 53.51%, 43.49%, 51.7%, 50.7%
V, 53.91%, 41.08%, 55.51%, 55.71%
VAR, 53.91%, 52.3%, 45.49%, 48.7%
VFC, 50.7%, 56.31%, 51.1%, 46.29%
VIAB, 54.51%, 50.9%, 50.9%, 51.5%
VLO, 46.69%, 43.49%, 53.71%, 47.7%
VMC, 51.7%, 45.29%, 50.1%, 53.11%
VNO, 49.3%, 51.9%, 50.1%, 46.89%
VRSK, 53.31%, 43.89%, 43.89%, 53.51%
VRSN, 53.71%, 44.69%, 53.71%, 56.51%
VRTX, 48.1%, 51.5%, 51.9%, 53.91%
VTR, 48.1%, 53.51%, 53.71%, 48.3%
VZ, 49.1%, 47.9%, 52.1%, 48.1%
WAT, 44.69%, 55.51%, 45.69%, 55.11%
WBA, 47.9%, 53.11%, 51.1%, 52.1%
WDC, 55.31%, 45.49%, 51.7%, 52.3%
WEC, 46.49%, 52.91%, 45.49%, 54.71%
WFC, 51.1%, 54.31%, 49.1%, 48.5%
WHR, 48.3%, 54.31%, 50.9%, 46.29%
WLTW, 44.29%, 50.1%, 51.9%, 46.29%
WM, 46.69%, 55.91%, 55.51%, 55.31%
WMB, 44.69%, 50.7%, 51.3%, 49.5%
WMT, 49.5%, 43.89%, 49.7%, 44.89%
WU, 50.9%, 49.1%, 49.7%, 53.51%
WY, 51.3%, 52.1%, 48.3%, 54.91%
WYNN, 54.31%, 52.71%, 51.7%, 51.7%
XEC, 52.3%, 52.71%, 50.3%, 48.7%
XEL, 50.5%, 55.11%, 46.69%, 56.51%
XL, 51.1%, 48.1%, 49.7%, 50.3%
XLNX, 50.5%, 53.91%, 54.91%, 54.91%
XOM, 51.1%, 48.9%, 50.5%, 52.51%
XRAY, 52.1%, 47.9%, 48.7%, 50.5%
XRX, 51.9%, 52.3%, 51.1%, 50.7%
XYL, 50.5%, 45.29%, 50.3%, 51.9%
YUM, 48.5%, 44.69%, 54.11%, 54.91%
ZBH, 50.1%, 43.69%, 51.7%, 50.5%
ZION, 51.3%, 46.89%, 51.9%, 46.69%
ZTS, 51.7%, 58.32%, 52.51%, 52.91%
^BSESN, 42.08%, 57.52%, 46.29%, 55.51%
^DJI, 47.09%, 58.12%, 48.1%, 55.91%
^FTSE, 51.1%, 54.51%, 47.9%, 47.29%
^GSPC, 47.09%, 59.92%, 45.49%, 52.1%
^HSI, 53.51%, 52.91%, 51.9%, 50.7%
^IXIC, 58.72%, 41.88%, 44.89%, 52.71%
^N225, 52.71%, 57.11%, 46.09%, 52.51%
